Date,Value
2016-09-30,2.8004781782194
2016-08-31,3.6979969183359
2016-07-31,2.4411893232233
2016-06-30,2.8617889109105
2016-05-31,3.0011325028313
2016-04-30,2.9357798165138
2016-02-29,2.8575510787255
2016-01-31,3.1945907973305
2015-12-31,3.3947768940873
2015-11-30,3.3532934131736
2015-10-31,2.5365853658537
2015-09-30,3.6290322580645
2015-08-31,4.4143910635587
2015-02-28,4.7058823529411
2015-01-31,5.079365079365
2014-12-31,5.1282051282051
2014-11-30,4.7626607397999
2014-10-31,4.0080160320641
2014-09-30,4.2207792207792
2014-08-31,4.2105263157894
2014-07-31,5.6306306306306
2014-06-30,5.2659294365455
2014-05-31,5.2659294365455
2014-04-30,4.2553191489361
2014-03-31,4.4454323182929
2014-02-28,4.2735042735042
2014-01-31,4.0053404539385
2013-12-31,4.0053404539385
2013-11-30,4.4715447154471
2013-10-31,4.5454545454545
2013-09-30,4.4347826086956
2013-08-31,4.4543429844097
2013-07-31,3.7065637065637
2013-06-30,4.000800160032
2013-05-31,4.0
2013-04-30,3.7861635220125
2013-03-31,4.0
2013-02-28,4.0
2013-01-31,3.4861200774693
2012-12-31,3.5087719298245
2012-11-30,4.1666666666666
2012-10-31,4.1666666666666
2012-09-30,3.5294117647058
2012-08-31,4.3478260869565
2012-07-31,4.0791841631673
2012-06-30,3.9408866995073
2012-05-31,4.5454545454545
2012-04-30,4.1232876712328
2012-03-31,4.1558441558441
2012-02-29,5.3571428571428
2012-01-31,6.4810690423162
2011-12-31,5.2571428571428
2011-11-30,4.7626607397999
2011-10-31,5.5913978494623
2011-09-30,4.6923879040667
2011-08-31,5.2770448548812
2011-07-31,5.4727793696275
2011-06-30,4.4927536231884
2011-05-31,4.1666666666666
2011-04-30,4.4444444444444
2011-03-31,4.16
2011-02-28,4.6231155778894
2011-01-31,4.6231155778894
2010-12-31,5.0125313283208
2010-11-30,3.8491147036181
2010-10-31,4.5558086560364
2010-09-30,5.1851851851851
2010-08-31,4.880429477794
2010-07-31,4.5454545454545
2010-06-30,4.2553191489361
2010-05-31,4.7628571428571
2010-04-30,5.6603773584905
2010-03-31,5.3203342618384
2010-02-28,5.6919824361684
